Proposal_ID,Sampling_Set,Core_Section,Sample_Name,Bulk_density_g_per_cm3,flag_Bulk_density
61078,9,TOP,61078_9_TOP,1.86,
61078,9,BTM,61078_9_BTM,1.64,
61079,1,TOP,61079_1_TOP,1.9,
61079,1,BTM,61079_1_BTM,1.25,
61079,2,TOP,61079_2_TOP,1.69,
61079,2,BTM,61079_2_BTM,0.91,
61079,3,TOP,61079_3_TOP,2.11,
61079,3,BTM,61079_3_BTM,1.1,
61079,4,TOP,61079_4_TOP,1.66,
61079,4,BTM,61079_4_BTM,1.12,
61079,5,TOP,61079_5_TOP,1.85,
61079,5,BTM,61079_5_BTM,1.3,
61079,6,TOP,61079_6_TOP,1.99,
61079,6,BTM,61079_6_BTM,1.03,
61079,7,TOP,61079_7_TOP,1.84,
61079,7,BTM,61079_7_BTM,0.92,
61079,8,TOP,61079_8_TOP,1.63,
61079,8,BTM,61079_8_BTM,0.73,
61079,9,TOP,61079_9_TOP,2.06,
61079,9,BTM,61079_9_BTM,0.97,
61086,1,TOP,61086_1_TOP,1.81,
61086,1,BTM,61086_1_BTM,1.78,
61086,2,TOP,61086_2_TOP,2.02,
61086,2,BTM,61086_2_BTM,1.69,
61086,3,TOP,61086_3_TOP,2.06,
61086,3,BTM,61086_3_BTM,1.49,
61086,4,TOP,61086_4_TOP,1.89,
61086,4,BTM,61086_4_BTM,1.86,
61086,5,TOP,61086_5_TOP,1.74,
61086,5,BTM,61086_5_BTM,1.67,
61086,6,TOP,61086_6_TOP,1.25,
61086,6,BTM,61086_6_BTM,1.52,
61090,1,TOP,61090_1_TOP,1.89,
61090,1,BTM,61090_1_BTM,1.31,
61090,2,TOP,61090_2_TOP,2.03,
61090,2,BTM,61090_2_BTM,1.49,
61090,3,TOP,61090_3_TOP,2.05,
61090,3,BTM,61090_3_BTM,1.45,
61090,4,TOP,61090_4_TOP,2.2,
61090,4,BTM,61090_4_BTM,1.35,
61090,5,TOP,61090_5_TOP,1.95,
61090,5,BTM,61090_5_BTM,1.45,
61093,1,TOP,61093_1_TOP,0.94,
61093,1,BTM,61093_1_BTM,0.79,
61093,2,TOP,61093_2_TOP,0.71,
61093,2,BTM,61093_2_BTM,0.41,
61093,3,TOP,61093_3_TOP,0.52,
61093,3,BTM,61093_3_BTM,0.42,
61093,4,TOP,61093_4_TOP,1.18,
61093,4,BTM,61093_4_BTM,0.97,
61093,5,TOP,61093_5_TOP,1.23,
61093,5,BTM,61093_5_BTM,1.12,
61093,6,TOP,61093_6_TOP,0.79,
61093,6,BTM,61093_6_BTM,0.63,
61093,7,TOP,61093_7_TOP,0.4,
61093,7,BTM,61093_7_BTM,,Insufficient_material
61104,1,TOP,61104_1_TOP,0.38,
61104,1,BTM,61104_1_BTM,0.71,
61104,2,TOP,61104_2_TOP,0.18,
61104,2,BTM,61104_2_BTM,0.39,
61111,1,TOP,61111_1_TOP,1.31,
61111,1,BTM,61111_1_BTM,1.23,
61111,2,TOP,61111_2_TOP,0.63,
61111,2,BTM,61111_2_BTM,2.19,
61111,3,TOP,61111_3_TOP,0.59,
61111,3,BTM,61111_3_BTM,1.46,
61111,4,TOP,61111_4_TOP,1.16,
61111,4,BTM,61111_4_BTM,1.62,
61111,5,TOP,61111_5_TOP,0.55,
61111,5,BTM,61111_5_BTM,,Insufficient_material
61111,6,TOP,61111_6_TOP,0.74,
61111,6,BTM,61111_6_BTM,,Insufficient_material
61111,7,TOP,61111_7_TOP,1.25,
61111,7,BTM,61111_7_BTM,1.28,
61111,8,TOP,61111_8_TOP,1.31,
61111,8,BTM,61111_8_BTM,1.35,
61115,1,TOP,61115_1_TOP,1.31,
61115,1,BTM,61115_1_BTM,1.01,
61115,2,TOP,61115_2_TOP,2.07,
61115,2,BTM,61115_2_BTM,1.12,
61115,3,TOP,61115_3_TOP,0.86,
61115,3,BTM,61115_3_BTM,1.32,
61115,4,TOP,61115_4_TOP,1.55,
61115,4,BTM,61115_4_BTM,0.77,
61115,5,TOP,61115_5_TOP,0.95,
61115,5,BTM,61115_5_BTM,0.45,
61115,6,TOP,61115_6_TOP,1.12,
61115,6,BTM,61115_6_BTM,1.25,
61251,2,TOP,61251_2_TOP,1.38,
61251,2,BTM,61251_2_BTM,1.83,
61251,3,TOP,61251_3_TOP,1.59,
61251,3,BTM,61251_3_BTM,1.69,
61251,4,TOP,61251_4_TOP,0.74,
61251,4,BTM,61251_4_BTM,0.6,
61251,5,TOP,61251_5_TOP,0.99,
61251,5,BTM,61251_5_BTM,0.99,
61251,6,TOP,61251_6_TOP,0.76,
61251,6,BTM,61251_6_BTM,1.14,
61251,7,TOP,61251_7_TOP,1.28,
61251,7,BTM,61251_7_BTM,1.15,
61254,1,TOP,61254_1_TOP,1.55,
61254,1,BTM,61254_1_BTM,0.82,
61254,2,TOP,61254_2_TOP,0.75,
61254,2,BTM,61254_2_BTM,1.39,
61254,3,TOP,61254_3_TOP,1.42,
61254,3,BTM,61254_3_BTM,0.7,
61254,4,TOP,61254_4_TOP,0.67,
61254,4,BTM,61254_4_BTM,1.42,
61254,5,TOP,61254_5_TOP,1.36,
61254,5,BTM,61254_5_BTM,0.62,
61254,6,TOP,61254_6_TOP,1.48,
61254,6,BTM,61254_6_BTM,1.27,
61254,7,TOP,61254_7_TOP,1.21,
61254,7,BTM,61254_7_BTM,0.7,
61254,8,TOP,61254_8_TOP,1.49,
61254,8,BTM,61254_8_BTM,0.56,
61254,9,TOP,61254_9_TOP,1.81,
61254,9,BTM,61254_9_BTM,,Insufficient_material
61255,1,TOP,61255_1_TOP,1.73,
61255,1,BTM,61255_1_BTM,1.14,
61255,2,TOP,61255_2_TOP,0.31,
61255,2,BTM,61255_2_BTM,1.06,
61255,3,TOP,61255_3_TOP,2.26,
61255,3,BTM,61255_3_BTM,,Insufficient_material
61255,4,TOP,61255_4_TOP,1.59,
61255,4,BTM,61255_4_BTM,0.76,
61255,5,TOP,61255_5_TOP,1.76,
61255,5,BTM,61255_5_BTM,1.41,
61255,6,TOP,61255_6_TOP,2.11,
61255,6,BTM,61255_6_BTM,1.67,
61255,7,TOP,61255_7_TOP,1.92,
61255,7,BTM,61255_7_BTM,1.4,
61255,8,TOP,61255_8_TOP,2.43,
61255,8,BTM,61255_8_BTM,1.27,
61255,9,TOP,61255_9_TOP,2.17,
61255,9,BTM,61255_9_BTM,1.43,
61257,1,TOP,61257_1_TOP,1.45,
61257,1,BTM,61257_1_BTM,0.92,
61257,2,TOP,61257_2_TOP,1.45,
61257,2,BTM,61257_2_BTM,0.91,
61257,3,TOP,61257_3_TOP,1.6,
61257,3,BTM,61257_3_BTM,0.64,
61257,4,TOP,61257_4_TOP,1.11,
61257,4,BTM,61257_4_BTM,0.78,
